id lang ,id marker,language,ISO,glottocode,geneological information,latitude,longitude,short link,pages,source,marking,strategy,productivity,collective,distributive,intRAoccasional,intERoccasional,number value
48,64,Marori,mok,moro1289,Marori,-8.5692,140.688,Arka & Dalrymple 2022,589-590,"Arka, Wayan & Mary Dalrymple. .2022. Number in Marori. In Paolo Acquaviva & Michael Daniel (eds.), Number in the World's Languages: A Comparative Handbook, 577-606. Berlin: DeGruyter Mouton.",stem alternation,irregular stem alternation,restricted,S/P,S/P ,repeated,---,>2
48,65,Marori,mok,moro1290,Marori,-8.5692,140.688,Arka & Dalrymple 2022,591-592,"Arka, Wayan & Mary Dalrymple. .2022. Number in Marori. In Paolo Acquaviva & Michael Daniel (eds.), Number in the World's Languages: A Comparative Handbook, 577-606. Berlin: DeGruyter Mouton.",suffix -ro (-re/-ri/-ra),affixation,productive,?,S/A,repetitive,---,>2
49,,Maybrat,ayz,maib1239,Maybratic,-1.3679,132.591,Dol 2007,NA,"Dol, Philomena. 2007. A grammar of Maybrat: a language of the Bird's Head Peninsula, Papua Province, Indonesia. (Pacific Linguistics, 586.) Canberra: Pacific Linguistics.",NA,,,,,,,
50,,Ambulas,abt,ambu1247,Ndu,-3.7801,143.059,Wilson 1980,NA,"Wilson, Patricia R. 1980. Ambulas Grammar. (Workpapers in Papua New Guinea Languages, 26.) Ukarumpa, Papua New Guinea: The Summer Institute of Linguistics. (http://www.sil.org/pacific/png/abstract.asp?id=21876).",NA,,,,,,,
51,,Hanga Hundi,wos,hang1263,Ndu,-3.90364,142.849,Wendel 1993,NA,"Wendel, Thomas Dewayne. 1993. A Preliminary Grammar of Hanga Hundi (Papua New Guinea). University of Texas at Arlington MA thesis.",NA,,,,,,,
52,,Iatmul,ian,iatm1242,Ndu,-4.30064,143.316,Jendraschek 2012,NA,"Jendraschek, Gerd. 2012. A grammar of Iatmul. Regensburg: Habilitationsschrift, Fakultät für Sprach-, Literatur- und Kulturwissenschaften, Universität Regensburg. (Habilitationsschrift, Universität Regensburg).",NA,,,,,,,
53,66,Manambu,mle,mana1298,Ndu,-4.19082,142.862,Aikhenvald 2008,271-273,"Aikhenvald, Alexandra Y. 2008. The Manambu language of East Sepik, Papua New Guinea. Oxford: Oxford University Press.",partial reduplication,reduplication,restricted,---,---,"repeated, multidirectional",---,NC
54,67,Nimboran,nir,nucl1633,Nimboranic,-2.5803,140.179,May 1997,90-91,"May, Kevin. 1997. A Study of the Nimboran Language: Phonology, morphology, and phrase structure. LaTrobe University MA thesis.",suffix -ka,affixation,NC,---,---,"repetitive, repeated",?,NC
55,68,Tidore,tvo,tido1248,North Halmahera,0.02461,127.746,Staden 2010,188,"Staden, Miriam van. 2010. A Grammar of Tidore. Mouton.",full reduplication,reduplication,NC,---,P,multidirectional?,"standard habitual, characteristic habitual",NC
56,69,Ternate,tft,tern1247,North Halmahera,0.80562,127.333,Hayami-Allen 2001,120-121,"Hayami-Allen, Rika. 2001. A Descriptive Study of the Language of Ternate, the Northern Moluccas, Indonesia. Pittsburgh: University of Pittsburgh dissertation.",full reduplication,reduplication,NC,---,"S/P, S/P dispersive","repetitive, repeated",---,NC
57,70,Pagu,pgu,pagu1249,North Halmahera,1.2134,127.78,Angin 2018,67,"Angin, Dalan Mehuli Perangin. 2018. A Descriptive Grammar of the Pagu Language. University of Hong Kong dissertation.",partial reduplication,reduplication,NC,---,---,repeated ?,---,NC
58,71,Tabaru,tby,taba1263,North Halmahera,1.46563,127.633,Kotynski 1988,168,"Kotynski, Edward. 1988. Tabaru phonology and morphology. University of North Dakota MA thesis.",partial reduplication,reduplication,NC,---,---,"repeated, continuative",---,NC
59,,Abu' Arapeshan,aah,abua1245,Nuclear Torricelli,-3.461612,142.917031,Nekitel 1985,NA,"Nekitel, Otto. 1985. Sociolinguistic Aspects of Abu', a Papuan Language of the Sepik Area, Papua New Guinea. Australian National University dissertation.",NA,,,,,,,
60,,Bukiyip ,ape,buki1249,Nuclear Torricelli,-3.47169,143.111,Conrad & Wogiga 1991,NA,"Conrad, Robert J. & Kepas Wogiga. 1991. An Outline of Bukiyip Grammar. (Pacific Linguistics: Series C, 113.) Pacific Linguistics: Series C. Canberra: Research School of Pacific and Asian Studies, Australian National University.",NA,,,,,,,
61,72,Aro-Mukweym-Orok,tei,torr1259,Nuclear Torricelli,-3.45292,142.622,Drinfeld 2024,201-212,"Drinfeld, Andrey. 2024. A Grammar of Aro, a Torricelli language of Papua New Guinea. State University of New York at Buffalo dissertation.","stem alternation, irregular suffixation, full reduplication, partial reduplication",irregular stem alternation,40 verbs attested ,S/P,"S/P, resultative",repeated,---,NC
62,,Kombio, xbi,komb1272,Nuclear Torricelli,-3.48467,142.694,Farr 1992,NA,"Farr, Joan (Henry). 1992. Kombio Grammar Essentials. Ms.",NA,,,,,,,
63,73,Urim,uri,urim1252,Nuclear Torricelli,-3.58018,142.653,Hemmilä & Luoma 1987,119-121,"Hemmilä, Ritva & Pirkko Luoma. 1987. Urim grammar. Ukarumpa: SIL. Ms.",full reduplication,reduplication,NC,---,S/P ,multidirectional,"iterative, standard habitual, characteristic habitual",NC
64,74,Yeri,yev,yapu1240 ,Nuclear Torricelli,-3.47256,142.436,Wilson 2017,116-117,"Wilson, Jennifer. 2017. A grammar of Yeri: A Torricelli language of Papua New Guinea. Buffalo: State University of New York at Buffalo dissertation.",partial reduplication,reduplication,NC,---,---,"repetitive, repeated",---,NC
65,,Awar,aya,awar1249,Ramu,-4.13554,144.836,Levy 2002,NA,"Levy, Catherine. 2002. A tentative description of Awar phonology and morphology (Lower Ramu family, Papua-New Guinea). Bruxelles: Université Libre de Bruxelles dissertation.",NA,,,,,,,
